DATE,Rainfall (mm)
13.6.22,3
14.6.22,0
15.6.22,0
16.6.22,1
17.6.22,0
18.6.22,0
19.6.22,1
20.6.22,0
21.6.22,3
22.6.22,2
23.6.22,3
24.6.22,8
25.6.22,2
26.6.22,1
27.6.22,2
28.6.22,1
29.6.22,1
30.6.22,3
1.7.22,4
2.7.22,0
3.7.22,0
4.7.22,5
5.7.22,2
6.7.22,0
7.7.22,0
8.7.22,0
9.7.22,0
10.7.22,0
11.7.22,0
12.7.22,0
13.7.22,0
14.7.22,0
15.7.22,0
16.7.22,0
17.7.22,0
18.7.22,0
19.7.22,5
20.7.22,3
21.7.22,1
22.7.22,0
23.7.22,2
24.7.22,0
25.7.22,1
26.7.22,1
27.7.22,0
28.7.22,0
29.7.22,3
30.7.22,1
31.7.22,3
1.8.22,0
